event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
3c6cfa12-162c-470d-afdf-372798bb2535,0.04747484,Saved,Left Foot,Open Play,Normal,False,False,118.8,39.9,2.4
87bdca30-3598-4c94-ab50-34ac9b292eb4,0.03055557,Off T,Right Foot,Open Play,Half Volley,False,False,120.0,33.2,0.2
9e493825-f27f-42f4-90ec-6acbf5d999fc,0.06890606,Wayward,Head,Open Play,Normal,False,False,118.1,51.7,
626c506d-8b15-49a6-b029-74e6a4a2f6a0,0.17227724,Off T,Right Foot,Open Play,Half Volley,True,False,120.0,44.5,1.0
2ce28e4f-4072-4bb9-bdbd-2907067d8951,0.24370956,Off T,Right Foot,Open Play,Normal,True,False,120.0,39.9,4.4
6810d26f-11f5-439b-acc7-35e183dc4980,0.021173598,Saved,Right Foot,Open Play,Normal,False,False,114.4,37.0,0.1
92274d24-904e-49e2-9644-462d4ffbee8a,0.044862214,Off T,Head,Open Play,Normal,False,False,120.0,37.1,4.7
c7d49866-8481-4e29-bc57-0dc580a1af47,0.51790327,Off T,Left Foot,Open Play,Normal,True,False,120.0,43.6,3.8
27cb25fa-97c5-4970-9ac8-6d57cff38ef0,0.08044887,Blocked,Right Foot,Open Play,Normal,False,False,108.7,34.7,
66deceef-d112-493b-a019-6e2b017c0a8b,0.057402436,Blocked,Right Foot,Open Play,Half Volley,True,False,106.9,37.2,
d051b92e-7e07-4c43-acd1-a0565748ddce,0.022790069,Blocked,Right Foot,Open Play,Normal,False,False,93.2,41.7,
d99db85c-6f9f-4691-9c8b-b0f0abf2a23b,0.05844971,Saved,Head,Open Play,Normal,False,False,116.9,39.6,2.2
